depart_code,year,num_epoints,nb_vp_rechargeables_el
41,2022,,14412.0
41,2023,503.0,20335.0
41,2024,110.0,6178.0
42,2020,,3456.0
42,2021,4.0,21071.0
42,2022,7.0,33803.0
42,2023,1155.0,49138.0
42,2024,182.0,15248.0
43,2020,,957.0
43,2021,4.0,5618.0
43,2022,3.0,8745.0
43,2023,289.0,12414.0
43,2024,16.0,3894.0
44,2020,,8273.0
44,2021,127.0,46388.0
44,2022,567.0,71416.0
44,2023,1183.0,103706.0
44,2024,414.0,32268.0
45,2020,,3836.0
45,2021,156.0,21061.0
45,2022,7.0,32229.0
45,2023,403.0,46477.0
45,2024,252.0,14464.0
46,2020,,940.0
46,2021,8.0,5337.0
46,2022,12.0,8155.0
46,2023,92.0,10971.0
46,2024,151.0,3278.0
47,2020,,1886.0
47,2021,183.0,11019.0
47,2022,2.0,17020.0
47,2023,124.0,23520.0
47,2024,130.0,7076.0
48,2020,,262.0
48,2021,,1425.0
48,2022,1.0,2140.0
48,2023,41.0,2882.0
48,2024,76.0,880.0
49,2020,,4359.0
49,2021,71.0,24139.0
49,2022,466.0,36898.0
49,2023,1172.0,52904.0
49,2024,322.0,16360.0
50,2020,,2938.0
50,2021,131.0,16427.0
50,2022,,25321.0
50,2023,239.0,37436.0
50,2024,411.0,11580.0
51,2020,,3060.0
51,2021,2.0,18487.0
51,2022,15.0,29846.0
51,2023,627.0,44053.0
51,2024,230.0,13453.0
52,2020,,613.0
52,2021,,3456.0
52,2022,,5316.0
52,2023,227.0,7490.0
52,2024,75.0,2293.0
53,2020,,1499.0
53,2021,20.0,8392.0
53,2022,150.0,12691.0
53,2023,288.0,18170.0
53,2024,61.0,5733.0
54,2020,,3517.0
54,2021,26.0,20712.0
54,2022,,33056.0
54,2023,802.0,48775.0
54,2024,266.0,15257.0
55,2020,,710.0
55,2021,6.0,3967.0
55,2022,1.0,6253.0
55,2023,198.0,8863.0
55,2024,31.0,2737.0
56,2020,,3911.0
56,2021,24.0,22313.0
56,2022,469.0,34558.0
56,2023,817.0,49636.0
56,2024,111.0,15359.0
57,2020,,5016.0
57,2021,229.0,30618.0
57,2022,33.0,49969.0
57,2023,1081.0,75185.0
57,2024,457.0,23563.0
58,2020,,681.0
58,2021,10.0,4076.0
58,2022,,6258.0
58,2023,186.0,8823.0
58,2024,82.0,2694.0
59,2020,,13395.0
59,2021,137.0,78143.0
59,2022,34.0,124207.0
59,2023,1111.0,182374.0
59,2024,2340.0,57903.0
60,2020,,6672.0
60,2021,12.0,45764.0
60,2022,1.0,69580.0
60,2023,813.0,96587.0
60,2024,248.0,26964.0
61,2020,,1124.0
61,2021,8.0,6228.0
61,2022,1.0,9700.0
61,2023,117.0,13684.0
61,2024,107.0,4161.0
62,2020,,5832.0
62,2021,25.0,34781.0
62,2022,17.0,57939.0
62,2023,877.0,88068.0
62,2024,988.0,28081.0
63,2020,,3483.0
63,2021,306.0,20422.0
63,2022,6.0,31827.0
63,2023,683.0,46391.0
63,2024,160.0,14460.0
64,2020,,3811.0
64,2021,115.0,22648.0
64,2022,6.0,35214.0
64,2023,380.0,50366.0
64,2024,223.0,15274.0
65,2020,,1096.0
65,2021,18.0,6124.0
65,2022,,9291.0
65,2023,97.0,13020.0
65,2024,260.0,3947.0
66,2020,,2370.0
66,2021,6.0,15441.0
66,2022,1.0,25163.0
66,2023,309.0,36907.0
66,2024,325.0,11541.0
67,2020,,8473.0
67,2021,189.0,48815.0
67,2022,9.0,74403.0
67,2023,887.0,104930.0
67,2024,482.0,31994.0
68,2020,,5781.0
68,2021,44.0,33577.0
68,2022,4.0,51962.0
68,2023,563.0,74412.0
68,2024,243.0,22603.0
69,2020,,14459.0
69,2021,270.0,86020.0
69,2022,12.0,131101.0
69,2023,1320.0,186830.0
69,2024,478.0,57122.0
70,2020,,853.0
70,2021,4.0,4832.0
70,2022,,7792.0
70,2023,168.0,11615.0
70,2024,18.0,3628.0
71,2020,,2372.0
71,2021,36.0,14270.0
71,2022,6.0,22050.0
71,2023,468.0,31790.0
71,2024,165.0,9842.0
72,2020,,2395.0
72,2021,33.0,14027.0
72,2022,2.0,22263.0
72,2023,300.0,31940.0
72,2024,163.0,9822.0
73,2020,,3220.0
73,2021,92.0,18381.0
73,2022,8.0,27692.0
73,2023,777.0,39817.0
73,2024,219.0,12042.0
74,2020,,7608.0
74,2021,34.0,41906.0
74,2022,17.0,63823.0
74,2023,1275.0,90934.0
74,2024,285.0,27706.0
75,2020,,21283.0
75,2021,77.0,117669.0
75,2022,1.0,169761.0
75,2023,178.0,240844.0
75,2024,4552.0,75650.0
76,2020,,7422.0
76,2021,60.0,44141.0
76,2022,,72143.0
76,2023,799.0,113134.0
76,2024,555.0,35644.0
77,2020,,8280.0
77,2021,82.0,47961.0
77,2022,28.0,75984.0
77,2023,910.0,110778.0
77,2024,1430.0,34395.0
78,2020,,16762.0
78,2021,196.0,91919.0
78,2022,54.0,132659.0
78,2023,628.0,191217.0
78,2024,1137.0,57971.0
79,2020,,1911.0
79,2021,6.0,10461.0
79,2022,9.0,15904.0
79,2023,431.0,22688.0
79,2024,108.0,6947.0
80,2020,,2338.0
80,2021,36.0,14391.0
80,2022,4.0,25403.0
80,2023,616.0,39834.0
80,2024,160.0,10989.0
81,2020,,2096.0
81,2021,28.0,12194.0
81,2022,,19221.0
81,2023,119.0,27772.0
81,2024,899.0,8728.0
82,2020,,1362.0
82,2021,18.0,7783.0
82,2022,4.0,12522.0
82,2023,350.0,18009.0
82,2024,90.0,5578.0
83,2020,,7294.0
83,2021,83.0,43809.0
83,2022,5.0,71046.0
83,2023,1674.0,103190.0
83,2024,388.0,31966.0
84,2020,,3693.0
84,2021,8.0,21589.0
84,2022,23.0,33885.0
84,2023,767.0,48803.0
84,2024,221.0,15007.0
85,2020,,4050.0
85,2021,303.0,22886.0
85,2022,24.0,35778.0
85,2023,635.0,51295.0
85,2024,207.0,15906.0
86,2020,,2654.0
86,2021,397.0,17905.0
86,2022,19.0,25985.0
86,2023,223.0,35654.0
86,2024,63.0,10450.0
87,2020,,1692.0
87,2021,23.0,10062.0
87,2022,27.0,15881.0
87,2023,204.0,23084.0
87,2024,81.0,7253.0
88,2020,,1583.0
88,2021,15.0,9401.0
88,2022,83.0,15047.0
88,2023,439.0,21555.0
88,2024,163.0,6727.0
89,2020,,1347.0
89,2021,10.0,7765.0
89,2022,3.0,12080.0
89,2023,496.0,17167.0
89,2024,184.0,5267.0
90,2020,,656.0
90,2021,3.0,3785.0
90,2022,3.0,6048.0
90,2023,159.0,8973.0
90,2024,35.0,2827.0
91,2020,,8913.0
91,2021,209.0,50425.0
91,2022,6.0,77404.0
91,2023,661.0,110671.0
91,2024,391.0,33974.0
92,2020,,23760.0
92,2021,604.0,124208.0
92,2022,1.0,177000.0
92,2023,1164.0,256491.0
92,2024,646.0,80930.0
93,2020,,7116.0
93,2021,125.0,39641.0
93,2022,1.0,59287.0
93,2023,1082.0,94036.0
93,2024,385.0,30796.0
94,2020,,6780.0
94,2021,69.0,39562.0
94,2022,7.0,61128.0
94,2023,600.0,88403.0
94,2024,908.0,27293.0
95,2020,,6538.0
95,2021,322.0,37319.0
95,2022,2.0,56990.0
95,2023,467.0,81938.0
95,2024,290.0,25227.0
97,2020,,5400.0
97,2021,1.0,34037.0
97,2022,3.0,58410.0
97,2023,266.0,83592.0
97,2024,15.0,25699.0
98,2023,14.0,
